n,b,sample_size,start,stop,treedist
334,19,25,100,200,1.07E+00
335,19,25,150,250,2.31E+00
336,19,25,200,300,2.21E+00
337,19,25,250,350,2.18E+00
338,19,25,300,400,2.16E+00
339,19,25,350,450,2.21E+00
340,19,25,400,500,2.21E+00
341,19,25,450,550,1.96E+00
342,19,25,500,600,3.17E+00
343,19,25,550,650,4.25E+00
344,19,25,600,700,4.28E+00
345,19,25,650,750,2.34E+00
346,19,25,700,800,1.90E+00
347,19,25,750,850,6.79E-01
348,19,25,800,900,6.41E-01
349,19,25,850,950,1.17E+00
350,20,25,600,700,2.50E+00
351,20,25,650,750,1.94E+00
352,20,25,700,800,2.47E+00
353,20,25,750,850,5.37E-01
354,20,25,800,900,5.67E-01
355,20,25,850,950,8.25E-01
356,21,25,50,150,8.47E-01
357,21,25,100,200,1.06E+00
358,21,25,150,250,8.97E-01
359,21,25,200,300,1.96E+00
360,21,25,250,350,1.68E+00
361,21,25,300,400,1.44E+00
362,21,25,350,450,1.04E+00
363,21,25,400,500,1.04E+00
364,21,25,450,550,1.23E+00
365,21,25,500,600,1.05E+00
366,21,25,550,650,1.22E+00
367,21,25,600,700,1.02E+00
368,21,25,650,750,9.35E-01
369,21,25,700,800,6.72E-01
370,21,25,750,850,5.31E-01
371,21,25,800,900,4.75E-01
372,21,25,850,950,4.52E-01
373,22,25,0,100,1.57E+00
374,22,25,50,150,1.49E+00
375,22,25,100,200,1.08E+00
376,22,25,150,250,1.43E+00
377,22,25,200,300,1.69E+00
378,22,25,250,350,1.59E+00
379,22,25,300,400,1.97E+00
380,22,25,350,450,2.50E+00
381,22,25,400,500,2.52E+00
382,22,25,450,550,1.16E+00
383,22,25,500,600,1.38E+00
384,22,25,550,650,1.29E+00
385,22,25,600,700,1.19E+00
386,22,25,650,750,1.19E+00
387,22,25,700,800,7.14E-01
388,22,25,750,850,7.32E-01
389,22,25,800,900,5.68E-01
390,22,25,850,950,5.92E-01
391,23,25,0,100,5.13E+00
392,23,25,50,150,3.19E+00
393,23,25,100,200,1.95E+00
394,23,25,150,250,2.83E+00
395,23,25,200,300,3.28E+00
396,23,25,250,350,3.29E+00
397,23,25,300,400,3.48E+00
398,23,25,350,450,2.99E+00
399,23,25,400,500,2.99E+00
400,23,25,450,550,3.76E+00
401,23,25,500,600,4.02E+00
402,23,25,550,650,8.46E+00
403,23,25,600,700,3.75E+00
404,23,25,650,750,2.65E+00
405,23,25,700,800,1.76E+00
406,23,25,750,850,1.56E+00
407,23,25,800,900,1.02E+00
408,23,25,850,950,1.04E+00
409,24,25,0,100,7.35E+00
410,24,25,50,150,3.75E+00
411,24,25,100,200,1.28E+00
412,24,25,150,250,2.34E+00
413,24,25,200,300,3.30E+00
414,24,25,250,350,3.14E+00
415,24,25,300,400,3.32E+00
416,24,25,350,450,3.08E+00
417,24,25,400,500,3.10E+00
418,24,25,450,550,2.46E+00
419,24,25,500,600,4.33E+00
420,24,25,550,650,1.39E+01
421,24,25,600,700,4.20E+00
422,24,25,650,750,2.49E+00
423,24,25,700,800,1.30E+00
424,24,25,750,850,8.18E-01
425,24,25,800,900,8.15E-01
426,24,25,850,950,1.33E+00
427,25,25,0,100,1.89E+00
428,25,25,50,150,1.94E+00
429,25,25,100,200,1.60E+00
430,25,25,150,250,1.44E+00
431,25,25,200,300,1.80E+00
432,25,25,250,350,1.44E+00
433,25,25,300,400,1.57E+00
434,25,25,350,450,1.54E+00
435,25,25,400,500,1.55E+00
436,25,25,450,550,1.26E+00
437,25,25,500,600,1.57E+00
438,25,25,550,650,2.11E+00
439,25,25,600,700,1.19E+00
440,25,25,650,750,9.65E-01
441,25,25,700,800,1.29E+00
442,25,25,750,850,1.25E+00
443,25,25,800,900,8.78E-01
444,25,25,850,950,1.15E+00
445,26,25,0,100,1.89E+00
446,26,25,50,150,1.66E+00
447,26,25,100,200,9.81E-01
448,26,25,150,250,5.04E+00
449,26,25,200,300,2.82E+00
450,26,25,250,350,4.04E+00
451,26,25,300,400,3.20E+00
452,26,25,350,450,2.90E+00
453,26,25,400,500,2.90E+00
454,26,25,450,550,1.63E+00
455,26,25,500,600,2.27E+00
456,26,25,550,650,3.02E+00
457,26,25,600,700,1.63E+00
458,26,25,650,750,1.35E+00
459,26,25,700,800,1.28E+00
460,26,25,750,850,9.15E-01
461,26,25,800,900,8.09E-01
462,26,25,850,950,8.71E-01
463,27,25,0,100,1.21E+00
464,27,25,50,150,1.28E+00
465,27,25,100,200,1.83E+00
466,27,25,150,250,2.05E+00
467,27,25,200,300,3.03E+00
468,27,25,250,350,2.45E+00
469,27,25,300,400,2.62E+00
470,27,25,350,450,2.47E+00
471,27,25,400,500,2.47E+00
472,27,25,450,550,1.63E+00
473,27,25,500,600,2.66E+00
474,27,25,550,650,3.72E+00
475,27,25,600,700,1.47E+00
476,27,25,650,750,1.50E+00
477,27,25,700,800,1.17E+00
478,27,25,750,850,9.97E-01
479,27,25,800,900,9.94E-01
480,27,25,850,950,1.09E+00
481,28,25,0,100,3.02E+00
482,28,25,50,150,2.05E+00
483,28,25,100,200,3.18E+00
484,28,25,150,250,3.38E+00
485,28,25,200,300,4.06E+00
486,28,25,250,350,3.73E+00
487,28,25,300,400,3.38E+00
488,28,25,350,450,3.38E+00
489,28,25,400,500,3.39E+00
490,28,25,450,550,2.29E+00
491,28,25,500,600,2.72E+00
492,28,25,550,650,2.87E+00
493,28,25,600,700,2.09E+00
494,28,25,650,750,1.06E+00
495,28,25,700,800,7.16E-01
496,28,25,750,850,8.40E-01
497,28,25,800,900,7.92E-01
498,28,25,850,950,9.94E-01
499,29,25,0,100,1.92E+00
500,29,25,50,150,1.04E+00
501,29,25,100,200,5.98E-01
502,29,25,150,250,1.33E+00
503,29,25,200,300,1.76E+00
504,29,25,250,350,1.94E+00
505,29,25,300,400,1.75E+00
506,29,25,350,450,1.89E+00
507,29,25,400,500,1.88E+00
508,29,25,450,550,3.08E+00
509,29,25,500,600,2.43E+00
510,29,25,550,650,4.02E+00
511,29,25,600,700,3.23E+00
512,29,25,650,750,1.29E+00
513,29,25,700,800,1.24E+00
514,29,25,750,850,9.10E-01
515,29,25,800,900,7.71E-01
516,29,25,850,950,1.05E+00
517,30,25,0,100,2.73E+01
518,30,25,50,150,1.44E+01
519,30,25,100,200,6.44E+00
520,30,25,150,250,4.36E+00
521,30,25,200,300,5.17E+00
522,30,25,250,350,2.32E+00
523,30,25,300,400,3.20E+00
524,30,25,350,450,2.46E+00
525,30,25,400,500,2.44E+00
526,30,25,450,550,2.39E+00
527,30,25,500,600,2.33E+00
528,30,25,550,650,2.80E+00
529,30,25,600,700,1.86E+00
530,30,25,650,750,1.36E+00
531,30,25,700,800,1.94E+00
532,30,25,750,850,1.62E+00
533,30,25,800,900,1.61E+00
534,31,25,0,100,3.62E+00
535,31,25,50,150,1.93E+00
536,31,25,100,200,3.02E+00
537,31,25,150,250,2.58E+00
538,31,25,200,300,5.97E+00
539,31,25,250,350,5.04E+00
540,31,25,300,400,4.58E+00
541,31,25,350,450,3.07E+00
542,31,25,400,500,3.06E+00
543,31,25,450,550,1.57E+00
544,31,25,500,600,1.60E+00
545,31,25,550,650,2.24E+00
546,31,25,600,700,1.83E+00
547,31,25,650,750,1.43E+00
548,31,25,700,800,1.03E+00
549,31,25,750,850,5.21E-01
550,31,25,800,900,5.13E-01
551,31,25,850,950,4.70E-01
552,32,25,0,100,4.12E+00
553,32,25,50,150,1.89E+00
554,32,25,100,200,2.17E+00
555,32,25,150,250,3.57E+00
556,32,25,200,300,4.11E+00
557,32,25,250,350,4.22E+00
558,32,25,300,400,4.68E+00
559,32,25,350,450,5.10E+00
560,32,25,400,500,5.09E+00
561,32,25,450,550,4.56E+00
562,32,25,500,600,1.42E+01
563,32,25,550,650,2.24E+01
564,32,25,600,700,2.68E+00
565,32,25,650,750,1.47E+00
566,32,25,700,800,6.84E-01
567,32,25,750,850,6.70E-01
568,32,25,800,900,1.12E+00
569,32,25,850,950,1.05E+00
570,33,25,0,100,4.30E+00
571,33,25,50,150,3.05E+00
572,33,25,100,200,1.79E+00
573,33,25,150,250,3.10E+00
574,33,25,200,300,2.59E+00
575,33,25,250,350,2.27E+00
576,33,25,300,400,2.02E+00
577,33,25,350,450,2.03E+00
578,33,25,400,500,2.02E+00
579,33,25,450,550,1.10E+00
580,33,25,500,600,2.34E+00
581,33,25,550,650,2.22E+00
582,33,25,600,700,1.91E+00
583,33,25,650,750,9.20E-01
584,33,25,700,800,6.30E-01
585,33,25,750,850,7.81E-01
586,33,25,800,900,6.93E-01
587,33,25,850,950,8.63E-01
588,34,25,550,650,6.47E+00
589,34,25,600,700,2.83E+00
590,34,25,650,750,2.36E+00
591,34,25,700,800,1.66E+00
592,34,25,750,850,1.62E+00
593,34,25,800,900,1.06E+00
594,34,25,850,950,1.17E+00
595,35,25,450,550,4.13E+00
596,35,25,500,600,4.11E+00
597,35,25,550,650,3.94E+00
598,35,25,600,700,2.00E+00
599,35,25,650,750,1.28E+00
600,35,25,700,800,9.22E-01
601,35,25,750,850,6.24E-01
602,35,25,800,900,1.05E+00
603,35,25,850,950,1.13E+00
604,36,25,0,100,5.22E+00
605,36,25,50,150,3.10E+00
606,36,25,100,200,8.56E-01
607,36,25,150,250,1.63E+00
608,36,25,200,300,2.03E+00
609,36,25,250,350,2.19E+00
610,36,25,300,400,2.77E+00
611,36,25,350,450,2.50E+00
612,36,25,400,500,2.48E+00
613,36,25,450,550,2.30E+00
614,36,25,500,600,1.99E+00
615,36,25,550,650,1.71E+00
616,36,25,600,700,1.82E+00
617,36,25,650,750,1.19E+00
618,36,25,700,800,8.69E-01
619,36,25,750,850,7.50E-01
620,36,25,800,900,1.05E+00
621,36,25,850,950,1.93E+00
622,37,25,450,550,1.75E+00
623,37,25,500,600,2.08E+00
624,37,25,550,650,1.81E+00
625,37,25,600,700,1.47E+00
626,37,25,650,750,1.25E+00
627,37,25,700,800,1.04E+00
628,37,25,750,850,5.27E-01
629,37,25,800,900,3.99E-01
630,37,25,850,950,5.07E-01
631,38,25,0,100,1.84E+00
632,38,25,50,150,2.64E+00
633,38,25,100,200,2.28E+00
634,38,25,150,250,2.51E+00
