n,b,sample_size,start,stop,treedist
n,b,sample_size,start,stop,treedist
28,27,25,300,400,2.619784e+00
28,27,25,350,450,2.470680e+00
28,27,25,400,500,2.471970e+00
28,27,25,450,550,1.628112e+00
28,27,25,500,600,2.664763e+00
28,27,25,550,650,3.718114e+00
28,27,25,600,700,1.473823e+00
28,27,25,650,750,1.497870e+00
28,27,25,700,800,1.168442e+00
28,27,25,750,850,9.971474e-01
28,27,25,800,900,9.938733e-01
28,27,25,850,950,1.094086e+00
29,28,25,0,100,3.017521e+00
29,28,25,50,150,2.053389e+00
29,28,25,100,200,3.175342e+00
29,28,25,150,250,3.383172e+00
29,28,25,200,300,4.059204e+00
29,28,25,250,350,3.728922e+00
29,28,25,300,400,3.376654e+00
29,28,25,350,450,3.384732e+00
29,28,25,400,500,3.390553e+00
29,28,25,450,550,2.294623e+00
29,28,25,500,600,2.718549e+00
29,28,25,550,650,2.866232e+00
29,28,25,600,700,2.094162e+00
29,28,25,650,750,1.064540e+00
29,28,25,700,800,7.161843e-01
29,28,25,750,850,8.398421e-01
29,28,25,800,900,7.916931e-01
29,28,25,850,950,9.944379e-01
30,29,25,0,100,1.921564e+00
30,29,25,50,150,1.040429e+00
30,29,25,100,200,5.977027e-01
30,29,25,150,250,1.332924e+00
30,29,25,200,300,1.756872e+00
30,29,25,250,350,1.937736e+00
30,29,25,300,400,1.754121e+00
30,29,25,350,450,1.885369e+00
30,29,25,400,500,1.883941e+00
30,29,25,450,550,3.075838e+00
30,29,25,500,600,2.431492e+00
30,29,25,550,650,4.017247e+00
30,29,25,600,700,3.232235e+00
30,29,25,650,750,1.290716e+00
30,29,25,700,800,1.235700e+00
30,29,25,750,850,9.101695e-01
30,29,25,800,900,7.706457e-01
30,29,25,850,950,1.052277e+00
31,30,25,0,100,2.725835e+01
31,30,25,50,150,1.443718e+01
31,30,25,100,200,6.438870e+00
31,30,25,150,250,4.364093e+00
31,30,25,200,300,5.166933e+00
31,30,25,250,350,2.323826e+00
31,30,25,300,400,3.201872e+00
31,30,25,350,450,2.459412e+00
31,30,25,400,500,2.441456e+00
31,30,25,450,550,2.390236e+00
31,30,25,500,600,2.334572e+00
31,30,25,550,650,2.799539e+00
31,30,25,600,700,1.864846e+00
31,30,25,650,750,1.363555e+00
31,30,25,700,800,1.944406e+00
31,30,25,750,850,1.618013e+00
31,30,25,800,900,1.609817e+00
n,b,sample_size,start,stop,treedist
32,31,25,0,100,3.620264e+00
32,31,25,50,150,1.931007e+00
32,31,25,100,200,3.021507e+00
32,31,25,150,250,2.582339e+00
32,31,25,200,300,5.965754e+00
32,31,25,250,350,5.037939e+00
32,31,25,300,400,4.584100e+00
32,31,25,350,450,3.070999e+00
32,31,25,400,500,3.056360e+00
32,31,25,450,550,1.574290e+00
32,31,25,500,600,1.604265e+00
32,31,25,550,650,2.243866e+00
32,31,25,600,700,1.826546e+00
32,31,25,650,750,1.427361e+00
32,31,25,700,800,1.028571e+00
32,31,25,750,850,5.207237e-01
32,31,25,800,900,5.125056e-01
32,31,25,850,950,4.701662e-01
33,32,25,0,100,4.115461e+00
33,32,25,50,150,1.885433e+00
33,32,25,100,200,2.173557e+00
33,32,25,150,250,3.567863e+00
33,32,25,200,300,4.106120e+00
33,32,25,250,350,4.215363e+00
33,32,25,300,400,4.684722e+00
33,32,25,350,450,5.097259e+00
33,32,25,400,500,5.092632e+00
33,32,25,450,550,4.556783e+00
33,32,25,500,600,1.416478e+01
